Тайлбар,Үнэ
Mandala garden хотхонд 2 өрөө байр 58m2,208 сая ₮
10-р хороолол 2 өрөө 53 м2 байр,157 сая ₮
5-р сургуулийн хойно 2 өрөө 51мкв,140 сая ₮
"Сбд,Дөлгөөн нуур апартмент-3т 2 өрөө 48.79м2 байр",158 сая ₮
Баянбүрд комьютер моллын баруун талд 53м2 2 өрөө,163.19 сая ₮
Сансарын топ мебелийн хажууд топ таун хотхонд 2 өрөө байр 52.74 мкв,3.8 сая ₮
Худ нисэх 59м2 2 өрөө байр,1.99 сая ₮
Бзд офицерын тойрог х апартмент хотхонд 54 мкв 2 өрөө байр,145 сая ₮
"Офицеруудын ордон тэнгэр плазагийн чанх хойно 2 өрөө орон сууц 55,76",139.4 сая ₮
Сансар top town д 63.69 мкв 2 өрөө орон сууц,245.21 сая ₮
